id,SMILES,Tg,FFV,Tc,Density,Rg,acetamida matches,acetato de etila matches,acetato de metila matches,acetona matches,acetonitrila matches,anidrido benzoico matches,anilina matches,benzamida matches,benzenotiol matches,benzoato de etila matches,benzoato de metila matches,benzofenona matches,benzonitrila matches,brometo de etila matches,butano matches,butanol-1 matches,butanol-2 matches,butanona (metiletilcetona) matches,butirato de etila matches,butirato de metila matches,catecol matches,ciclohexanona matches,ciclopentanona matches,cloreto de metila matches,cresol m- matches,cresol o- matches,cresol p- matches,decano matches,dietilsulfeto matches,dimetilamina matches,dimetilsulfeto matches,etano matches,etanol matches,etanotiol matches,etilamina matches,fenol matches,fluorenona matches,formamida matches,formiato de etila matches,formiato de metila matches,glicerol matches,heptano matches,hexano matches,hexanol-1 matches,hexanona-2 matches,hidroquinona matches,isobutanol matches,laurato de etila matches,laurato de metila matches,metano matches,metanol matches,metanotiol matches,metilamina matches,naftol-1 matches,naftol-2 matches,nitrobenzeno matches,nitrometano matches,nonano matches,octano matches,pentano matches,pentanol-1 matches,pentanona-2 matches,pirocatecol matches,propano matches,propanol-1 matches,propanol-2 matches,propanona matches,propionato de etila matches,propionato de metila matches,propionitrila matches,resorcinol matches,terc-butanol matches,tiofeno matches,trimetilamina matches,alcanos_count,alcohols_count,amidas_count,aminas_count,anidridos_acido_count,cetonas_count,esteres_count,fenois_count,haletos_count,nitrilas_count,nitrocompostos_count,sulfeto_count,tiol_count,peso_molecular,logP,n_atomospesados,n_hdoadores,n_haceptores,tpsa,n_rotatable_bonds
2986007,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,0.0,0.40239665,0.487,0.901122805,28.6824407,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,8,11,0,0,0,13,0,0,0,0,0,2,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,458.6490000000003,7.697660000000008,35,0,2,47.58,13
3013292,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,0.0,0.0,0.171,1.184354013,13.53424751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.17,1.641,14,2,2,74.6,4
3053950,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,0.0,0.36481552,0.0,0.0,0.0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,524.4880000000004,5.459900000000004,40,0,6,93.22,5
3128201,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,0.0,0.36956078,0.0,0.0,0.0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.6830000000003,6.204700000000008,53,0,7,125.97,9
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,0.0,0.3314918,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,236.22299999999998,1.4487,17,0,5,61.83,7
3254580,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,0.0,0.34991627,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.334,3.8410400000000022,18,2,2,24.06,5
4600132,*Nc1ccc(-c2ccc(N*)cc2)cc1,0.0,0.33687015,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.226,3.1060000000000008,14,2,2,24.06,3
4658296,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,0.0,0.36326495,0.0,0.0,0.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,756.6910000000001,10.031699999999994,55,2,7,110.8,8
4834929,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,0.0,0.36594162,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.302,3.8100000000000023,18,2,2,24.06,2
5118841,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,0.0,0.40101187,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.33899999999994,4.007300000000003,17,0,2,20.310000000000002,9
5350166,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,0.0,0.31898697,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,2,1,1,0,0,1,0,0,0,6,0,0,13,4,0,4,0,0,0,0,0,0,2,0,0,0,10,6,0,0,0,0,0,0,0,0,0,6.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,302.327,1.522,21,3,5,113.96000000000002,11
5650517,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,0.0,0.33573247,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,3,0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,13,3,0,2,0,0,0,0,0,0,1,1,0,0,5,2,0,0,1,1,0,0,0,0,0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,453.4910000000003,2.9045000000000014,33,1,7,107.99999999999999,14
5661484,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,0.0,0.38715626,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,556.6030000000002,5.367200000000005,41,0,8,104.16000000000001,8
5709902,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,0.0,0.33579028,0.0,0.0,0.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.30999999999995,2.9178000000000015,18,2,3,58.199999999999996,9
5724071,*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,0.0,0.33930299,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.38900000000007,3.0768000000000013,27,4,3,95.15,5
5857263,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,0.0,0.36614256,0.0,0.0,0.0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,642.6230000000004,7.766000000000008,49,0,7,102.44999999999999,8
5905810,*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,0.0,0.34722767,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,2,0,0,0,4,5,0,0,0,0,0,0,16,0,0,3,0,0,0,0,1,3,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.52600000000007,4.142980000000003,26,2,2,58.2,11
5966923,*c1cc(CCOC(=O)NCCCC)c(*)s1,0.0,0.36941899,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,225.31299999999996,1.1661,15,1,3,38.33,6
6019988,*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,0.0,0.3407009,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.364,2.6305000000000005,20,2,2,58.2,8
6102563,*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,0.0,0.32926001,0.0,0.0,0.0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,381.34000000000015,1.5211000000000001,28,0,7,99.21000000000001,8
6259923,*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,0.0,0.32877014,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,296.33000000000004,1.5959999999999999,22,5,6,105.55999999999999,4
6645418,*CCCCCNC(=O)CCCCC(=O)N*,0.0,0.3327408,0.327,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.29299999999998,1.3813999999999997,15,2,2,58.2,10
6665789,*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,0.0,0.35017075,0.0,0.0,0.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.38200000000006,4.6750000000000025,26,2,3,58.199999999999996,6
7586800,*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,0.0,0.38518992,0.0,0.0,0.0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1141.274,16.435899999999968,86,2,9,151.41999999999996,15
7687820,*CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,0.0,0.0,0.383,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,22,0,0,3,0,0,4,0,0,0,12,14,0,0,0,0,0,0,26,0,0,7,0,0,0,0,10,11,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.7280000000002,6.818700000000005,32,4,2,82.26,25
8689461,*CC(*)CCCCCCCCCCCCCCCC,0.0,0.40787312,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,11,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.4859999999999,7.163200000000007,18,0,0,0.0,16
8973725,*CC(*)CC(C)(C)CC,0.0,0.0,0.1863333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.21599999999998,3.118100000000002,8,0,0,0.0,4
9231170,*CC(*)CC,0.0,0.0,0.2253333333333333,0.0,13.87291346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.10799999999999,1.7018,4,0,0,0.0,2
9284896,*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,0.0,0.38708542,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.523,1.4393999999999993,19,2,3,67.42999999999999,9
